date,cash,position_value,total_value,position_count
20260105,1000000.0,0.0,1000000.0,0
20260106,708605.1557644,291307.452,999912.6077644001,2
20260107,558811.3310944,469567.9,1028379.2310944,3
20260108,260880.48464619997,794996.494,1055876.9786462,5
20260109,410415.77572419995,691746.0,1102161.7757242,4
20260112,410415.77572419995,743281.0,1153696.7757242,4
20260113,937659.490693,188919.0,1126578.4906930001,1
20260114,1107117.8700424,0.0,1107117.8700424,0
20260115,1107117.8700424,0.0,1107117.8700424,0
20260116,779580.0661708,327439.572,1107019.6381708,2
20260119,933458.9871796,157300.0,1090758.9871796002,1
20260120,1079769.9453466001,0.0,1079769.9453466001,0
20260121,595737.9372940001,483886.84200000006,1079624.779294,3
20260122,277081.51903900004,850993.85,1128075.369039,5
20260123,277081.51903900004,886141.0,1163222.519039,5
20260126,559969.6377814,637791.0,1197760.6377814,3
20260127,774468.0109222,426107.0,1200575.0109222,2
20260128,421443.7073938,811443.4280000001,1232887.1353938002,4
20260129,183607.84854819992,1035150.148,1218757.9965482,5
20260130,966913.4317803998,180523.0,1147436.4317803998,1
20260202,1133794.3382061997,0.0,1133794.3382061997,0
20260203,964237.1503053997,169506.336,1133743.4863053998,1
20260204,796502.1448953997,344030.7,1140532.8448953996,2
20260205,625685.0651403996,515647.85,1141332.9151403997,3
20260206,605932.1793243996,555139.22,1161071.3993243994,3
20260209,431932.79516439955,777471.2,1209403.9951643995,4
20260210,963859.0189479995,223550.0,1187409.0189479995,1
20260211,1186671.8851779995,0.0,1186671.8851779995,0
20260212,832092.0111183996,354473.532,1186565.5431183996,2
20260213,832092.0111183996,345371.0,1177463.0111183994,2
20260224,481587.49129839963,715407.4,1196994.8912983998,4
20260225,130611.89019639962,1064753.34,1195365.2301963996,6
20260226,130419.12437199961,1097805.88,1228225.0043719995,6
20260227,130419.12437199961,1108313.0,1238732.1243719996,6
20260302,130419.12437199961,1125525.0,1255944.1243719996,6
20260303,1003146.8714709997,191660.0,1194806.8714709997,1
20260304,1003146.8714709997,203100.0,1206246.8714709997,1
20260305,1003146.8714709997,213220.0,1216366.8714709997,1
20260306,1003146.8714709997,229560.0,1232706.8714709997,1
20260309,451662.03763959964,788519.4380000001,1240181.4756395998,4
20260310,451662.03763959964,833248.0,1284910.0376395998,4
20260311,451662.03763959964,868649.0,1320311.0376395998,4
20260312,888728.0881707997,428862.0,1317590.0881707997,2
20260313,1064837.4639699997,233750.0,1298587.4639699997,1
20260316,1278505.5838449998,0.0,1278505.5838449998,0
20260317,1278505.5838449998,0.0,1278505.5838449998,0
20260318,1278505.5838449998,0.0,1278505.5838449998,0
20260319,1278505.5838449998,0.0,1278505.5838449998,0
20260320,1278505.5838449998,0.0,1278505.5838449998,0
20260323,1278505.5838449998,0.0,1278505.5838449998,0
20260324,704336.6828343997,573996.702,1278333.3848344,3
20260325,882168.3607263997,371889.0,1254057.3607263998,2
20260326,687488.7985731997,551089.128,1238577.9265731997,3
20260327,868895.6486913997,374178.0,1243073.6486913997,2
20260330,1043852.8362849997,211183.0,1255035.8362849997,1
20260331,1043852.8362849997,216643.0,1260495.8362849997,1
20260401,1043852.8362849997,215600.0,1259452.8362849997,1
20260402,1043852.8362849997,232743.0,1276595.8362849997,1
20260403,1043852.8362849997,246750.0,1290602.8362849997,1
20260407,1043852.8362849997,249970.00000000003,1293822.8362849997,1
20260408,1043852.8362849997,253470.00000000003,1297322.8362849997,1
20260409,669990.7032825998,652567.008,1322557.7112825997,3
20260410,669990.7032825998,645148.0,1315138.7032825998,3
20260413,669990.7032825998,635998.0,1305988.7032825998,3
20260414,924299.3716725998,394082.0,1318381.3716725998,2
20260415,1117534.0915449997,184728.0,1302262.0915449997,1
20260416,1117534.0915449997,188160.0,1305694.0915449997,1
20260417,1117534.0915449997,190944.0,1308478.0915449997,1
20260420,1117534.0915449997,196800.0,1314334.0915449997,1
20260421,1117534.0915449997,192984.0,1310518.0915449997,1
20260422,1117534.0915449997,194544.0,1312078.0915449997,1
20260423,1117534.0915449997,187667.99999999997,1305202.0915449997,1
20260424,1117534.0915449997,194460.0,1311994.0915449997,1
20260427,532481.2083189997,790065.42,1322546.628319,4
20260428,532481.2083189997,806024.0,1338505.2083189997,4
20260429,532481.2083189997,857380.0,1389861.2083189997,4
20260430,532481.2083189997,856506.0,1388987.2083189997,4
20260506,532481.2083189997,892536.0,1425017.2083189997,4
20260507,346956.78306219965,1054500.4,1401457.1830621995,5
20260508,960142.1764185997,392456.0,1352598.1764185997,2
20260511,372663.7257405997,1027244.26,1399907.9857405997,5
20260512,180841.6547823997,1217640.654,1398482.3087823999,6
20260513,180841.6547823997,1251320.0,1432161.6547823998,6
20260514,116088.88062279968,1267069.8,1383158.6806227998,6
20260515,304800.5640963997,1059296.0,1364096.5640963996,5
20260518,103350.17110359971,1288173.976,1391524.1471035997,6
20260519,548277.2539647997,847348.756,1395626.0099647997,4
20260520,548277.2539647997,906964.0,1455241.2539647997,4
20260521,746047.6902495996,679233.6,1425281.2902495996,3
20260522,727254.0521535996,706283.8200000001,1433537.8721535997,3
20260525,326763.7573503996,1134488.868,1461252.6253503996,5
20260526,326763.7573503996,1232758.0,1559521.7573503996,5
20260527,402330.8281779996,1137543.1,1539873.9281779998,5
20260528,128163.47298399956,1442300.28,1570463.7529839997,6
20260529,98097.2707809995,1411610.56,1509707.8307809995,6
20260601,723375.7197219997,700498.74,1423874.4597219997,3
20260602,510086.15204199974,928689.6,1438775.7520419997,4
20260603,91315.84635399975,1339675.6800000002,1430991.526354,6
20260604,512507.4145749997,952889.0,1465396.4145749998,4
20260605,496489.7013921998,936830.274,1433319.9753921998,4
20260608,967416.7293531998,433091.0,1400507.7293531997,2
20260609,557417.6505183999,886283.1159999999,1443700.7665183998,4
20260610,764372.9783823999,717022.0,1481394.9783823998,3
20260611,107567.39980359981,1365521.5960000001,1473088.9958036,6
20260612,1001744.7564927998,441312.60000000003,1443057.3564928,2
20260615,570935.9126007998,910266.64,1481202.5526007998,4
20260616,140197.22975079983,1363481.5,1503678.7297508,6
20260617,152067.9599031998,1387507.1,1539575.0599031998,6
20260618,152067.9599031998,1461772.0,1613839.9599031997,6
20260622,152067.9599031998,1512058.0,1664125.9599031997,6
20260623,328279.0853169998,1238909.592,1567188.6773169998,5
20260624,744644.6195487998,789599.0,1534243.6195488,3
20260625,297428.1148347998,1271406.38,1568834.4948347998,5
20260626,513020.86743039975,1040887.0,1553907.8674303996,4
